,Group,Breed
1,Herding,Australian Cattle
2,Herding,Queensland Heeler
3,Herding,Australian Cattle Dog
4,Herding,Australian Shepherd
5,Herding,Bearded Collie
6,Herding,Beauceron
7,Herding,Belgian Malinois
8,Herding,Belgian Sheep
9,Herding,Belgian Tervuren
10,Herding,Bergamasco
11,Herding,Berger Picard
12,Herding,Border Collie
13,Herding,Bouvier des Flandres
14,Herding,Briard
15,Herding,Canaan Dog
16,Herding,Canaan
17,Herding,Cardigan Welsh Corgi
18,Herding,Collie Rough
19,Herding,Collie Smooth
20,Herding,Collie
21,Herding,Entlebucher Moutain
22,Herding,Finnish Lapphund
23,Herding,German Shepherd
24,Herding,Icelandic Sheep
25,Herding,Miniature American Shepherd
26,Herding,Norwegian Buhund
27,Herding,Old English Sheep
28,Herding,Pembroke Welsh Corgi
29,Herding,Polish Lowland Sheep
30,Herding,Puli
31,Herding,Pumi
32,Herding,Pyrenean Shepherd
33,Herding,Shetland Sheep Dog
34,Herding,Shetland Sheep
35,Herding,Spanish Water
36,Herding,Swedish Vallhund
37,Hound,Afghan Hound
38,Hound,American English Coonhound
39,Hound,English Coonhound
40,Hound,American Foxhound
41,Hound,Azawakh
42,Hound,Basenji
43,Hound,Basset Hound
44,Hound,Beagle
45,Hound,Black and Tan Coonhound
46,Hound,Bloodhound
47,Hound,Bluetick Coonhound
48,Hound,Borzoi
49,Hound,Cirneco DellŠ—ÈEtna
50,Hound,Dachshund
51,Hound,Dachshund Longhair
52,Hound,Dachshund Wirehair
53,Hound,English Foxhound
54,Hound,Grand Basset Griffon Vendeen
55,Hound,Greyhound
56,Hound,Harrier
57,Hound,Ibizan Hound
58,Hound,Irish Wolfhound
59,Hound,Norwegian Elkhound
60,Hound,Otterhound
61,Hound,Petit Basset Griffon Vendeen
62,Hound,Pharaoh Hound
63,Hound,Plott Hound
64,Hound,Plott
65,Hound,Portuguese Podengo Pequeno
66,Hound,Redbone Hound
67,Hound,Redbone Coonhound
68,Hound,Rhod Ridgeback
69,Hound,Rhodesian Ridgeback
70,Hound,Saluki
71,Hound,Scottish Deerhound
72,Hound,Sloughi
73,Hound,Treeing Walker Coonhound
74,Hound,Whippet
75,Toy,Affenpinscher
76,Toy,Bruss Griffon
77,Toy,Brussels Griffon
78,Toy,Cavalier King Charles Spaniel
79,Toy,Cavalier Span
80,Toy,Chihuahua Shorthair
81,Toy,Chihuahua Longhair
82,Toy,Chihuahua
83,Toy,Chinese Crested
84,Toy,English Toy Spaniel
85,Toy,Havanese
86,Toy,Italian Greyhound
87,Toy,Japanese Chin
88,Toy,Maltese
89,Toy,Manchester Terrier
90,Toy,Miniature Poodle
91,Toy,Miniature Pinscher
92,Toy,Papillon
93,Toy,Pekingese
94,Toy,Pomeranian
95,Toy,Toy Poodle
96,Toy,Poodle (Toy)
97,Toy,Pug
98,Toy,Shih Tzu
99,Toy,Silky Terrier
100,Toy,Toy Fox Terrier
101,Toy,Yorkshire Terrier
102,Non-Sporting,American Bulldog
103,Non-Sporting,American Pit Bull Terrier
104,Non-Sporting,American Eskimo
105,Non-Sporting,Bichon Frise
106,Non-Sporting,Boston Terrier
107,Non-Sporting,Pit Bull
108,Non-Sporting,Bulldog
109,Non-Sporting,Chinese Shar-Pei
110,Non-Sporting,Chow Chow
111,Non-Sporting,Coton De Tulear
112,Non-Sporting,Dalmatian
113,Non-Sporting,Finish Spitz
114,Non-Sporting,French Bull
115,Non-Sporting,Keeshond
116,Non-Sporting,Lhasa Apso
117,Non-Sporting,Lowchen
118,Non-Sporting,Norwegian Lundhund
119,Non-Sporting,English Bulldog
120,Non-Sporting,Old English Bulldog
121,Non-Sporting,Poodle
122,Non-Sporting,Schipperke
123,Non-Sporting,Shiba Inu
124,Non-Sporting,Standard Poodle
125,Non-Sporting,Tibetan Spaniel
126,Non-Sporting,Tibetan Terrier
127,Non-Sporting,Xoloitzcuintli
128,Sporting,American Water Spaniel
129,Sporting,Boykin Spaniel
130,Sporting,Brittany
131,Sporting,Chesa Bay Retr
132,Sporting,Chesapeake Bay Retriever
133,Sporting,Clumber Spaniel
134,Sporting,Cocker Spaniel
135,Sporting,Curly-Coated Retriever
136,Sporting,English Cocker Spaniel
137,Sporting,English Setter
138,Sporting,English Springer Spaniel
139,Sporting,Field Spaniel
